"","Year","Country Name","GDP Per Capita","HDI_Value","Population","Male_p","Female_p","All_Participant","Women to Men participants","Total Gold Medals","Total_Medals"
"1",1992,"Argentina",7366.759988,0.719,33529326,67,17,84,0.253731343283582,0,1
"2",1992,"Australia",18647.39065,0.868,17495000,187,92,279,0.491978609625668,7,26
"3",1992,"Brazil",2346.247849,0.626,154259380,132,50,182,0.378787878787879,2,3
"4",1992,"Bulgaria",1092.156576,0.691,8540164,87,51,138,0.586206896551724,3,16
"5",1992,"Canada",20939.8598,0.856,28371264,189,125,314,0.661375661375661,6,17
"6",1992,"Chile",3527.862367,0.719,13719819,9,3,12,0.333333333333333,0,0
"7",1992,"China",497.641729,0.52,1164970000,117,127,244,1.08547008547009,14,48
"8",1992,"Colombia",1737.976013,0.613,34422569,46,3,49,0.0652173913043478,0,1
"9",1992,"Cuba",2057.65829,0.663,10736387,126,50,176,0.396825396825397,14,30
"10",1992,"Germany",26630.65062,0.814,80624598,300,163,463,0.543333333333333,30,76
"11",1992,"Ghana",944.76939,0.463,15653336,35,2,37,0.0571428571428571,0,1
"12",1992,"India",324.156894,0.442,909307016,45,8,53,0.177777777777778,0,0
"13",1992,"Jamaica",1712.788175,0.65,2461049,22,14,36,0.636363636363636,0,4
"14",1992,"Japan",31185.27529,0.824,124229000,175,81,256,0.462857142857143,3,21
"15",1992,"Kenya",472.70814,0.461,25326078,42,9,51,0.214285714285714,2,8
"16",1992,"Korea, South",8189.007975,0.746,43747962,154,72,226,0.467532467532468,11,23
"17",1992,"Mexico",4673.561951,0.66,87075138,76,26,102,0.342105263157895,0,1
"18",1992,"New Zealand",12006.54407,0.826,3531700,92,42,134,0.456521739130435,1,10
"19",1992,"Poland",2470.915824,0.714,38363667,149,52,201,0.348993288590604,3,19
"20",1992,"South Africa",3454.560049,0.64,38672607,68,25,93,0.367647058823529,0,2
"21",1992,"Sweden",32462.31051,0.821,8668067,143,44,187,0.307692307692308,1,12
"22",1992,"United Kingdom",20518.69718,0.801,57580402,229,142,371,0.620087336244541,5,19
"23",1992,"United States",25326.15569,0.867,256514000,355,190,545,0.535211267605634,32,98
"24",1992,"Venezuela",2810.914092,0.654,20557683,22,4,26,0.181818181818182,0,0
"25",1992,"Vietnam",138.716935,0.496,70883481,2,5,7,2.5,0,0
"26",1992,"Zimbabwe",976.672949,0.485,10900502,10,9,19,0.9,0,0
"27",1996,"Argentina",8329.571356,0.738,35246374,131,47,178,0.358778625954198,0,3
"28",1996,"Australia",23782.50662,0.886,18311000,250,167,417,0.668,9,38
"29",1996,"Brazil",5151.933065,0.657,164614688,159,66,225,0.415094339622642,3,15
"30",1996,"Bulgaria",1482.749449,0.703,8362826,74,36,110,0.486486486486487,3,15
"31",1996,"Canada",21288.18313,0.863,29610218,153,154,307,1.00653594771242,3,21
"32",1996,"Chile",5446.331426,0.732,14587370,16,5,21,0.3125,0,0
"33",1996,"China",820.13042,0.558,1217550000,111,183,294,1.64864864864865,12,43
"34",1996,"Colombia",3015.45776,0.643,37076387,39,9,48,0.230769230769231,0,0
"35",1996,"Cuba",2282.362249,0.665,10939293,111,53,164,0.477477477477477,9,25
"36",1996,"Germany",30669.60227,0.839,81914831,278,187,465,0.672661870503597,16,59
"37",1996,"Ghana",855.774731,0.473,17462496,28,7,35,0.25,0,0
"38",1996,"India",402.134695,0.471,982365243,41,8,49,0.195121951219512,0,1
"39",1996,"Jamaica",2885.992216,0.668,2558637,27,19,46,0.703703703703704,1,6
"40",1996,"Japan",38164.71384,0.845,125757000,157,149,306,0.949044585987261,3,14
"41",1996,"Kenya",488.159161,0.452,28589451,40,12,52,0.3,1,7
"42",1996,"Korea, South",13409.55618,0.789,45524681,189,111,300,0.587301587301587,7,25
"43",1996,"Mexico",4294.95162,0.679,93147044,68,29,97,0.426470588235294,0,1
"44",1996,"New Zealand",18694.1035,0.856,3732000,65,32,97,0.492307692307692,3,6
"45",1996,"Poland",4153.980986,0.748,38624370,126,39,165,0.30952380952381,7,17
"46",1996,"South Africa",3440.824874,0.649,42241011,64,20,84,0.3125,3,5
"47",1996,"Sweden",32706.99327,0.864,8840998,111,66,177,0.594594594594595,2,8
"48",1996,"United Kingdom",24338.55257,0.844,58166950,184,116,300,0.630434782608696,1,15
"49",1996,"United States",30033.55344,0.879,269394000,375,271,646,0.722666666666667,37,88
"50",1996,"Venezuela",3013.484207,0.662,22385650,34,5,39,0.147058823529412,0,0
"51",1996,"Vietnam",322.857524,0.54,76068743,3,3,6,1,0,0
"52",1996,"Zimbabwe",1169.133795,0.471,11541217,12,1,13,0.0833333333333333,0,0
"53",2000,"Argentina",8315.418811,0.77,36870787,98,45,143,0.459183673469388,0,4
"54",2000,"Australia",21440.18057,0.898,19153000,341,276,617,0.809384164222874,15,53
"55",2000,"Brazil",3721.655958,0.684,174790340,111,94,205,0.846846846846847,0,11
"56",2000,"Bulgaria",1656.20811,0.712,8170172,57,34,91,0.596491228070175,5,13
"57",2000,"Canada",24231.234,0.868,30685730,154,155,309,1.00649350649351,3,13
"58",2000,"Chile",5134.273427,0.753,15342353,43,7,50,0.162790697674419,0,1
"59",2000,"China",1077.060114,0.591,1262645000,91,180,271,1.97802197802198,21,46
"60",2000,"Colombia",2448.566288,0.662,39629968,25,19,44,0.76,1,1
"61",2000,"Cuba",2741.146414,0.686,11126430,147,82,229,0.557823129251701,11,29
"62",2000,"Germany",23845.83849,0.869,82211508,241,181,422,0.75103734439834,12,52
"63",2000,"Ghana",558.103425,0.483,19278856,16,6,22,0.375,0,0
"64",2000,"India",452.160508,0.497,1056575549,43,22,65,0.511627906976744,0,1
"65",2000,"Jamaica",3389.360309,0.669,2654701,22,26,48,1.18181818181818,0,9
"66",2000,"Japan",38323.28842,0.855,126843000,156,110,266,0.705128205128205,5,18
"67",2000,"Kenya",459.922524,0.446,31964557,43,13,56,0.302325581395349,2,7
"68",2000,"Korea, South",12159.19458,0.817,47008111,175,106,281,0.605714285714286,7,26
"69",2000,"Mexico",6959.419384,0.705,98899845,52,36,88,0.692307692307692,1,6
"70",2000,"New Zealand",14108.16115,0.87,3857700,91,60,151,0.659340659340659,1,3
"71",2000,"Poland",4458.750724,0.785,38258629,129,58,187,0.449612403100775,5,13
"72",2000,"South Africa",2981.988251,0.629,44967708,89,38,127,0.426966292134831,0,5
"73",2000,"Sweden",29424.31712,0.897,8872109,98,52,150,0.530612244897959,4,12
"74",2000,"United Kingdom",28120.70276,0.867,58892514,181,129,310,0.712707182320442,11,28
"75",2000,"United States",36358.06085,0.881,282162411,333,253,586,0.75975975975976,32,84
"76",2000,"Venezuela",4783.76557,0.672,24192446,36,14,50,0.388888888888889,0,0
"77",2000,"Vietnam",388.271903,0.578,79910412,3,4,7,1.33333333333333,0,1
"78",2000,"Zimbabwe",713.495029,0.452,11881477,11,5,16,0.454545454545455,0,0
"79",2004,"Argentina",4284.878335,0.775,38491972,106,46,152,0.433962264150943,2,6
"80",2004,"Australia",34004.55334,0.907,20127400,268,202,470,0.753731343283582,17,47
"81",2004,"Brazil",3622.901962,0.697,184006481,124,119,243,0.959677419354839,5,10
"82",2004,"Bulgaria",3378.129256,0.745,7716860,49,46,95,0.938775510204082,2,11
"83",2004,"Canada",32134.36866,0.887,31940655,132,133,265,1.00757575757576,3,12
"84",2004,"Chile",6213.910944,0.782,16014971,16,6,22,0.375,2,3
"85",2004,"China",1615.88024,0.631,1296075000,136,248,384,1.82352941176471,24,54
"86",2004,"Colombia",2714.503721,0.68,42075955,32,21,53,0.65625,0,2
"87",2004,"Cuba",3390.751758,0.718,11250365,97,54,151,0.556701030927835,9,27
"88",2004,"Germany",34379.09085,0.899,82516260,250,191,441,0.764,13,48
"89",2004,"Ghana",897.697796,0.497,21272323,18,10,28,0.555555555555556,0,0
"90",2004,"India",624.373164,0.53,1129623456,48,28,76,0.583333333333333,0,1
"91",2004,"Jamaica",3728.652773,0.695,2725015,22,25,47,1.13636363636364,2,5
"92",2004,"Japan",37555.81956,0.869,127761000,139,167,306,1.20143884892086,16,37
"93",2004,"Kenya",526.622996,0.475,35635271,22,24,46,1.09090909090909,1,7
"94",2004,"Korea, South",16354.78221,0.847,48082519,145,119,264,0.820689655172414,8,28
"95",2004,"Mexico",7310.983224,0.726,104514932,59,50,109,0.847457627118644,0,4
"96",2004,"New Zealand",25106.55974,0.887,4087500,81,67,148,0.827160493827161,3,5
"97",2004,"Poland",6643.892809,0.802,38182222,132,62,194,0.46969696969697,3,10
"98",2004,"South Africa",4737.881654,0.618,47291610,66,40,106,0.606060606060606,1,6
"99",2004,"Sweden",42558.17285,0.896,8993531,62,53,115,0.854838709677419,4,7
"100",2004,"United Kingdom",40361.61352,0.886,59987905,161,103,264,0.639751552795031,9,30
"101",2004,"United States",41750.72887,0.892,292805298,279,254,533,0.910394265232975,32,90
"102",2004,"Venezuela",4271.295477,0.7,25996594,33,15,48,0.454545454545455,0,2
"103",2004,"Vietnam",592.550265,0.612,83062821,6,5,11,0.833333333333333,0,0
"104",2004,"Zimbabwe",580.416103,0.427,12019912,8,4,12,0.5,1,3
"105",2008,"Argentina",9054.550404,0.81,40080160,95,42,137,0.442105263157895,2,6
"106",2008,"Australia",49526.10205,0.922,21249200,260,173,433,0.665384615384615,13,41
"107",2008,"Brazil",8787.770364,0.716,192030362,145,132,277,0.910344827586207,3,15
"108",2008,"Bulgaria",7248.449695,0.771,7492561,30,32,62,1.06666666666667,1,4
"109",2008,"Canada",46488.68017,0.893,33247118,188,146,334,0.776595744680851,3,16
"110",2008,"Chile",10781.36534,0.811,16708258,17,9,26,0.529411764705882,0,1
"111",2008,"China",3576.181974,0.681,1324655000,192,477,669,2.484375,41,83
"112",2008,"Colombia",5383.132669,0.72,44254975,34,34,68,1,0,2
"113",2008,"Cuba",5376.447622,0.778,11236971,89,60,149,0.674157303370786,2,24
"114",2008,"Germany",45977.10591,0.916,82110097,249,190,439,0.763052208835341,14,39
"115",2008,"Ghana",1620.743998,0.542,23563825,8,1,9,0.125,0,0
"116",2008,"India",1058.742344,0.565,1200669765,42,15,57,0.357142857142857,1,3
"117",2008,"Jamaica",4913.550236,0.728,2781876,24,24,50,1,4,8
"118",2008,"Japan",39190.11163,0.881,128063000,167,165,332,0.988023952095808,9,25
"119",2008,"Kenya",916.943325,0.515,39791981,28,18,46,0.642857142857143,4,12
"120",2008,"Korea, South",21279.16782,0.874,49054708,147,120,267,0.816326530612245,12,28
"121",2008,"Mexico",9765.702404,0.74,110815271,43,42,85,0.976744186046512,2,3
"122",2008,"New Zealand",31151.71662,0.895,4259800,97,85,182,0.876288659793814,3,9
"123",2008,"Poland",13928.16597,0.824,38125759,200,68,268,0.34,3,10
"124",2008,"South Africa",5688.492739,0.644,49779471,82,54,136,0.658536585365854,0,1
"125",2008,"Sweden",55799.4876,0.901,9219637,70,64,134,0.914285714285714,0,5
"126",2008,"United Kingdom",47084.83486,0.896,61806995,168,143,311,0.851190476190476,18,44
"127",2008,"United States",48497.37206,0.907,304093966,310,286,596,0.92258064516129,32,95
"128",2008,"Venezuela",11214.68715,0.753,27635832,73,35,108,0.479452054794521,0,1
"129",2008,"Vietnam",1143.268575,0.639,86243413,7,6,13,0.857142857142857,0,1
"130",2008,"Zimbabwe",468.207785,0.432,12379549,9,4,13,0.444444444444444,1,4
"131",2012,"Argentina",13811.78016,0.823,41733271,96,41,137,0.427083333333333,1,4
"132",2012,"Australia",69701.08158,0.932,22733465,224,186,410,0.830357142857143,8,35
"133",2012,"Brazil",12291.6644,0.734,199287296,136,122,258,0.897058823529412,3,17
"134",2012,"Bulgaria",7388.398564,0.786,7305888,36,27,63,0.75,0,2
"135",2012,"Canada",52396.83058,0.906,34714222,122,157,279,1.28688524590164,1,17
"136",2012,"Chile",15431.90283,0.818,17400347,21,14,35,0.666666666666667,0,0
"137",2012,"China",6390.956972,0.719,1350695000,171,225,396,1.31578947368421,30,76
"138",2012,"Colombia",7904.495734,0.736,46076848,48,56,104,1.16666666666667,1,8
"139",2012,"Cuba",6425.941119,0.764,11257101,66,45,111,0.681818181818182,5,15
"140",2012,"Germany",43511.89183,0.927,80425823,218,174,392,0.798165137614679,11,43
"141",2012,"Ghana",2157.25583,0.57,25996449,6,3,9,0.5,0,0
"142",2012,"India",1473.301833,0.6,1265782790,60,23,83,0.383333333333333,0,6
"143",2012,"Jamaica",5211.875688,0.722,2842132,25,25,50,1,3,10
