"","X1","Country Code","Year","Country Name","GDP Per Capita","HDI Rank","HDI_Value","Population","Event","Medal","number_medals","Continent"
"1",1,"ARG",1992,"Argentina",7366.759988,48,0.719,33529326,"Doubles","Bronze",1,"South America"
"2",2,"ARG",1996,"Argentina",8329.571356,48,0.738,35246374,"54 - 57KG (Featherweight)","Bronze",1,"South America"
"3",3,"ARG",1996,"Argentina",8329.571356,48,0.738,35246374,"Board (Mistral)","Silver",1,"South America"
"4",4,"ARG",1996,"Argentina",8329.571356,48,0.738,35246374,"Football","Silver",1,"South America"
"5",5,"ARG",2000,"Argentina",8315.418811,48,0.77,36870787,"470 - Two Person Dinghy","Bronze",1,"South America"
"6",6,"ARG",2000,"Argentina",8315.418811,48,0.77,36870787,"Board (Mistral)","Silver",1,"South America"
"7",7,"ARG",2000,"Argentina",8315.418811,48,0.77,36870787,"Hockey","Silver",1,"South America"
"8",8,"ARG",2000,"Argentina",8315.418811,48,0.77,36870787,"Single-Handed Dinghy (Europe)","Bronze",1,"South America"
"9",9,"ARG",2004,"Argentina",4284.878335,48,0.775,38491972,"400M Individual Medley","Bronze",1,"South America"
"10",10,"ARG",2004,"Argentina",4284.878335,48,0.775,38491972,"Basketball","Gold",1,"South America"
"11",11,"ARG",2004,"Argentina",4284.878335,48,0.775,38491972,"Doubles","Bronze",1,"South America"
"12",12,"ARG",2004,"Argentina",4284.878335,48,0.775,38491972,"Football","Gold",1,"South America"
"13",13,"ARG",2004,"Argentina",4284.878335,48,0.775,38491972,"Hockey","Bronze",1,"South America"
"14",14,"ARG",2004,"Argentina",4284.878335,48,0.775,38491972,"Tornado - Multihull","Bronze",1,"South America"
"15",15,"ARG",2008,"Argentina",9054.550404,48,0.81,40080160,"- 48 KG","Bronze",1,"South America"
"16",16,"ARG",2008,"Argentina",9054.550404,48,0.81,40080160,"Basketball","Bronze",1,"South America"
"17",17,"ARG",2008,"Argentina",9054.550404,48,0.81,40080160,"Football","Gold",1,"South America"
"18",18,"ARG",2008,"Argentina",9054.550404,48,0.81,40080160,"Hockey","Bronze",1,"South America"
"19",19,"ARG",2008,"Argentina",9054.550404,48,0.81,40080160,"Madison","Gold",1,"South America"
"20",20,"ARG",2008,"Argentina",9054.550404,48,0.81,40080160,"Tornado - Multihull","Bronze",1,"South America"
"21",21,"ARG",2012,"Argentina",13811.78016,48,0.823,41733271,"470","Bronze",1,"South America"
"22",22,"ARG",2012,"Argentina",13811.78016,48,0.823,41733271,"68 - 80 KG","Gold",1,"South America"
"23",23,"ARG",2012,"Argentina",13811.78016,48,0.823,41733271,"Hockey","Silver",1,"South America"
"24",24,"ARG",2012,"Argentina",13811.78016,48,0.823,41733271,"Singles","Bronze",1,"South America"
"25",25,"AUS",1992,"Australia",18647.39065,6,0.868,17495000,"100M Breaststroke","Bronze",1,"Australia & New Zealand"
"26",26,"AUS",1992,"Australia",18647.39065,6,0.868,17495000,"1500M Freestyle","Gold",1,"Australia & New Zealand"
"27",27,"AUS",1992,"Australia",18647.39065,6,0.868,17495000,"1500M Freestyle","Silver",1,"Australia & New Zealand"
"28",28,"AUS",1992,"Australia",18647.39065,6,0.868,17495000,"1KM Time Trial","Silver",1,"Australia & New Zealand"
"29",29,"AUS",1992,"Australia",18647.39065,6,0.868,17495000,"200M Backstroke","Bronze",1,"Australia & New Zealand"
"30",30,"AUS",1992,"Australia",18647.39065,6,0.868,17495000,"200M Butterfly","Bronze",1,"Australia & New Zealand"
